Name	sR	sG	sB
PANTONE 10101 C	212	213	212
PANTONE 10102 C	195	197	196
PANTONE 10103 C	185	187	187
PANTONE 10104 C	173	176	177
PANTONE 10105 C	170	173	174
PANTONE Silver 10077 C	166	169	170
PANTONE 10106 C	171	171	116
PANTONE 10107 C	172	170	98
PANTONE 10108 C	176	171	79
PANTONE 10109 C	178	170	60
PANTONE 10110 C	183	171	38
PANTONE 10111 C	191	176	0
PANTONE 10112 C	170	170	136
PANTONE 10113 C	172	169	112
PANTONE 10114 C	174	167	92
PANTONE 10115 C	176	165	73
PANTONE 10116 C	181	165	54
PANTONE 10117 C	186	163	31
PANTONE 10118 C	174	164	111
PANTONE 10119 C	178	162	92
PANTONE 10120 C	181	159	74
PANTONE 10121 C	186	155	55
PANTONE 10122 C	191	151	36
PANTONE 10123 C	200	148	3
PANTONE 10124 C	170	162	117
PANTONE 10125 C	171	157	98
PANTONE 10126 C	172	151	81
PANTONE 10127 C	174	145	66
PANTONE 10128 C	178	139	51
PANTONE 10129 C	185	133	36
PANTONE 10130 C	178	144	112
PANTONE 10131 C	176	133	92
PANTONE 10132 C	176	124	76
PANTONE 10133 C	172	114	59
PANTONE 10134 C	168	105	46
PANTONE 10135 C	166	98	33
PANTONE 10136 C	174	155	137
PANTONE 10137 C	174	143	114
PANTONE 10138 C	172	131	94
PANTONE 10139 C	169	121	77
PANTONE 10140 C	167	112	64
PANTONE 10141 C	162	102	50
PANTONE 10142 C	183	142	108
PANTONE 10143 C	187	132	89
PANTONE 10144 C	190	122	71
PANTONE 10145 C	194	114	55
PANTONE 10146 C	197	105	38
PANTONE 10147 C	201	97	21
PANTONE 10401 C	204	139	34
PANTONE 10402 C	193	143	78
PANTONE 10403 C	171	136	85
PANTONE 10404 C	172	144	106
PANTONE 10405 C	174	151	115
PANTONE 10406 C	181	156	125
PANTONE 10407 C	180	161	131
PANTONE 10408 C	179	146	121
PANTONE 10409 C	164	118	98
PANTONE 10410 C	158	107	102
PANTONE 10411 C	183	132	127
PANTONE Rose Gold 10412 C	180	145	143
PANTONE 10148 C	185	135	123
PANTONE 10149 C	188	123	106
PANTONE 10150 C	190	110	88
PANTONE 10151 C	192	100	72
PANTONE 10152 C	196	91	57
PANTONE 10153 C	201	82	42
PANTONE 10154 C	174	150	144
PANTONE 10155 C	175	134	124
PANTONE 10156 C	176	119	108
PANTONE 10157 C	175	105	91
PANTONE 10158 C	176	91	77
PANTONE 10159 C	178	79	65
PANTONE 10413 C	195	74	76
PANTONE 10414 C	187	38	89
PANTONE 10415 C	177	65	69
PANTONE 10416 C	168	41	46
PANTONE 10417 C	176	47	53
PANTONE 10418 C	141	53	54
PANTONE 10160 C	185	126	144
PANTONE 10161 C	187	111	130
PANTONE 10162 C	189	96	116
PANTONE 10163 C	190	84	102
PANTONE 10164 C	193	75	88
PANTONE 10165 C	197	65	73
PANTONE 10166 C	178	123	147
PANTONE 10167 C	179	107	136
PANTONE 10168 C	180	90	124
PANTONE 10169 C	180	75	112
PANTONE 10170 C	180	61	99
PANTONE 10171 C	183	45	84
PANTONE 10172 C	165	125	156
PANTONE 10173 C	165	109	149
PANTONE 10174 C	165	95	140
PANTONE 10175 C	164	80	131
PANTONE 10176 C	166	66	121
PANTONE 10177 C	170	50	111
PANTONE 10178 C	176	139	163
PANTONE 10179 C	175	125	157
PANTONE 10180 C	176	112	151
PANTONE 10181 C	176	98	143
PANTONE 10182 C	177	84	135
PANTONE 10183 C	181	70	128
PANTONE 10419 C	187	127	132
PANTONE 10420 C	175	122	138
PANTONE 10421 C	158	68	111
PANTONE 10422 C	134	51	102
PANTONE 10423 C	143	76	131
PANTONE 10424 C	114	39	105
PANTONE 10184 C	173	144	169
PANTONE 10185 C	174	131	166
PANTONE 10186 C	173	117	160
PANTONE 10187 C	173	104	156
PANTONE 10188 C	175	91	151
PANTONE 10189 C	177	77	146
PANTONE 10190 C	158	149	157
PANTONE 10191 C	149	134	145
