Name	sR	sG	sB
PANTONE Yellow 0131 C	242	240	161
PANTONE Red 0331 C	252	174	187
PANTONE Magenta 0521 C	241	178	220
PANTONE Violet 0631 C	191	155	222
PANTONE Blue 0821 C	116	209	234
PANTONE Green 0921 C	157	231	215
PANTONE Black 0961 C	158	151	142
PANTONE 9140 C	242	238	202
PANTONE 9284 C	250	201	209
PANTONE 9324 C	243	201	228
PANTONE 9344 C	209	182	228
PANTONE 9464 C	159	221	237
PANTONE 9524 C	175	234	220
PANTONE 9084 C	173	167	158
PANTONE 9060 C	241	240	216
PANTONE 9280 C	245	226	226
PANTONE 9320 C	242	222	233
PANTONE 9340 C	231	220	234
PANTONE 9460 C	213	235	238
PANTONE 9520 C	215	239	231
PANTONE 9083 C	204	200	191
PANTONE 9064 C	241	241	222
PANTONE 9285 C	242	235	231
PANTONE 9061 C	242	233	234
PANTONE 9345 C	238	233	234
PANTONE 9062 C	230	238	236
PANTONE 9063 C	231	239	231
PANTONE 9081 C	223	220	212
PANTONE 9043 C	232	230	223
PANTONE 9080 C	228	226	219
PANTONE 9100 C	231	231	224
PANTONE 9101 C	227	227	221
PANTONE 9102 C	217	219	213
PANTONE 9103 C	213	216	210
PANTONE 9082 C	210	205	195
PANTONE 9121 C	241	240	176
PANTONE 9120 C	241	239	183
PANTONE 9141 C	242	237	192
PANTONE 9142 C	233	228	197
PANTONE 9161 C	231	219	185
PANTONE 9143 C	227	223	195
PANTONE 9162 C	226	217	194
PANTONE 9160 C	244	229	192
PANTONE 9180 C	243	228	205
PANTONE 9181 C	244	227	201
PANTONE 9200 C	245	225	204
PANTONE 9201 C	245	227	204
PANTONE 9220 C	245	224	207
PANTONE 9221 C	237	214	196
PANTONE 9184 C	239	228	206
PANTONE 9185 C	237	225	207
PANTONE 9202 C	237	222	205
PANTONE 9182 C	236	220	200
PANTONE 9183 C	229	215	197
PANTONE 9203 C	228	213	196
PANTONE 9186 C	225	211	196
PANTONE 9224 C	242	233	219
PANTONE 9225 C	240	230	216
PANTONE 9226 C	235	227	215
PANTONE 9222 C	230	213	200
PANTONE 9223 C	225	211	199
PANTONE 9242 C	233	213	205
PANTONE 9243 C	225	206	198
PANTONE 9244 C	243	233	226
PANTONE 9240 C	244	229	222
PANTONE 9260 C	245	222	218
PANTONE 9241 C	240	221	215
PANTONE 9261 C	239	215	212
PANTONE 9262 C	234	213	210
PANTONE 9263 C	228	209	205
PANTONE 9286 C	246	223	224
PANTONE 9281 C	242	221	222
PANTONE 9300 C	244	221	226
PANTONE 9282 C	239	218	219
PANTONE 9301 C	240	219	225
PANTONE 9321 C	237	213	226
PANTONE 9302 C	233	206	213
PANTONE 9021 C	241	231	228
PANTONE 9022 C	240	231	233
PANTONE 9023 C	234	227	234
PANTONE 9283 C	233	216	215
PANTONE 9303 C	231	210	214
PANTONE 9322 C	233	208	220
PANTONE 9323 C	226	204	214
PANTONE 9360 C	222	216	235
PANTONE 9341 C	227	215	230
PANTONE 9342 C	224	212	226
PANTONE 9343 C	222	209	225
PANTONE 9361 C	220	211	231
PANTONE 9362 C	220	212	229
PANTONE 9363 C	209	199	217
PANTONE 9380 C	222	225	236
PANTONE 9384 C	218	223	236
PANTONE 9381 C	210	217	232
PANTONE 9382 C	205	210	230
PANTONE 9383 C	209	213	227
PANTONE 9385 C	206	213	223
PANTONE 9403 C	206	217	228
PANTONE 9400 C	214	225	236
PANTONE 9401 C	213	225	237
PANTONE 9402 C	213	224	234
PANTONE 9420 C	209	226	236
PANTONE 9421 C	206	223	233
PANTONE 9422 C	202	217	227
PANTONE 9423 C	192	209	218
PANTONE 9424 C	195	227	231
PANTONE 9440 C	193	224	234
PANTONE 9441 C	192	224	236
PANTONE 9442 C	190	221	231
PANTONE 9461 C	190	226	231
PANTONE 9462 C	185	219	224
PANTONE 9443 C	185	213	222
PANTONE 9480 C	200	233	233
PANTONE 9481 C	197	233	234
PANTONE 9500 C	190	233	231
PANTONE 9482 C	193	227	228
PANTONE 9501 C	185	224	221
PANTONE 9483 C	198	220	218
PANTONE 9463 C	189	218	221
PANTONE 9042 C	227	232	227
PANTONE 9041 C	223	236	228
PANTONE 9040 C	220	235	236
PANTONE 9044 C	201	226	224
PANTONE 9045 C	200	222	218
PANTONE 9503 C	203	222	218
PANTONE 9504 C	198	218	215
PANTONE 9525 C	229	239	226
PANTONE 9540 C	225	240	229
PANTONE 9541 C	223	236	226
PANTONE 9521 C	213	233	225
PANTONE 9522 C	214	230	223
PANTONE 9523 C	214	227	220
PANTONE 9502 C	205	227	224
PANTONE 9544 C	229	239	218
PANTONE 9560 C	223	239	219
PANTONE 9561 C	215	232	210
PANTONE 9562 C	214	226	207
PANTONE 9563 C	213	221	206
PANTONE 9542 C	205	218	205
PANTONE 9543 C	199	215	201
PANTONE 9020 C	238	238	200
PANTONE 9600 C	231	237	200
PANTONE 9601 C	229	232	205
PANTONE 9122 C	228	226	183
PANTONE 9602 C	217	219	189
PANTONE 9603 C	217	217	195
PANTONE 9123 C	220	217	185
PANTONE 9580 C	225	239	206
PANTONE 9581 C	222	231	205
PANTONE 9584 C	220	225	203
PANTONE 9582 C	215	219	200
PANTONE 9583 C	205	210	186
PANTONE 9585 C	215	219	198
PANTONE 9163 C	216	207	185
PANTONE 801 C	0	154	206
PANTONE 802 C	68	214	44
PANTONE 803 C	255	233	0
PANTONE 804 C	255	170	77
PANTONE 805 C	255	114	118
PANTONE 806 C	255	62	181
PANTONE 807 C	234	39	194
PANTONE 901 C	0	170	218
PANTONE 902 C	141	233	113
PANTONE 903 C	255	243	109
PANTONE 904 C	255	205	138
PANTONE 905 C	255	157	167
PANTONE 906 C	255	124	214
PANTONE 907 C	244	105	219
PANTONE 908 C	0	175	219
PANTONE 909 C	169	238	138
PANTONE 910 C	253	243	138
PANTONE 911 C	255	217	164
PANTONE 912 C	255	172	182
PANTONE 913 C	255	146	218
PANTONE 914 C	245	127	224
PANTONE 915 C	0	188	227
PANTONE 916 C	185	239	163
PANTONE 917 C	247	244	162
PANTONE 918 C	255	223	180
PANTONE 919 C	255	192	200
PANTONE 920 C	255	173	227
PANTONE 921 C	248	163	230
PANTONE 808 C	0	183	150
PANTONE 809 C	227	232	41
PANTONE 810 C	255	214	53
PANTONE 811 C	255	143	108
PANTONE 812 C	255	95	162
PANTONE 813 C	251	72	196
PANTONE 814 C	138	105	212
PANTONE 922 C	0	192	163
PANTONE 923 C	236	241	102
PANTONE 924 C	255	230	113
PANTONE 925 C	255	173	147
PANTONE 926 C	255	133	189
PANTONE 927 C	252	118	217
PANTONE 928 C	153	122	219
PANTONE 929 C	43	201	175
PANTONE 930 C	238	243	134
PANTONE 931 C	255	233	131
PANTONE 932 C	255	187	164
PANTONE 933 C	255	155	203
PANTONE 934 C	252	141	224
PANTONE 935 C	171	146	225
PANTONE 936 C	109	213	195
PANTONE 937 C	239	244	164
PANTONE 938 C	252	238	168
PANTONE 939 C	255	207	190
PANTONE 940 C	255	182	217
PANTONE 941 C	252	169	230
PANTONE 942 C	192	174	231
